Year	Month	Platform	Listeners
2020	3	Web	58039790.4
2020	3	All_Other	31034027.7
2020	3	Android	62926716.6
2020	3	Roku	7980777
2020	3	iOS	72647366.4
2020	4	Amazon	14800330.8
2020	4	Web	59023575.9
2020	4	Roku	8108701.2
2020	4	All_Other	32015719.8
2020	4	Android	63765765.9
2020	4	iOS	73378947.6
2020	5	Amazon	15121555.2
2020	5	Web	60552748.8
2020	5	iOS	74174962.5
2020	5	All_Other	32831544.6
2020	5	Android	64671440.4
2020	5	Roku	8244950.4
2020	6	All_Other	33488360.1
2020	6	Android	65506222.8
2020	6	iOS	74902738.5
2020	6	Roku	8367664.5
2020	6	Amazon	15376121.1
2020	6	Web	61299429.3
2020	7	Amazon	15632169.3
2020	7	Roku	8501301
2020	7	All_Other	34138980
2020	7	Web	62117512.2
2020	7	iOS	75631348.8
2020	7	Android	66326886
2020	8	Amazon	15865957.8
2020	8	Web	63189949.5
2020	8	iOS	76282254.9
2020	8	All_Other	34747214.4
2020	8	Roku	8617504.5
2020	8	Android	67102767
2020	9	Web	64317947.4
2020	9	Roku	8719013.7
2020	9	iOS	76861421.1
2020	9	Android	67832922.6
2020	9	Amazon	16073370.9
2020	9	All_Other	35288144.1
2020	10	iOS	77415200.1
2020	10	Android	68554386.9
2020	10	Amazon	16244015.4
2020	10	Roku	8842210.2
2020	10	All_Other	36454841.1
2020	10	Web	65422327.5
2020	11	Amazon	16386347.7
2020	11	Web	66610198.8
2020	11	iOS	77971374.9
2020	11	All_Other	37613172.6
2020	11	Android	69244471.8
2020	11	Roku	8976212.1
2020	12	Roku	9233961.3
2020	12	Amazon	16552881
2020	12	Android	70013814.3
2020	12	iOS	78623583.3
2020	12	All_Other	38790161.1
2020	12	Web	68103796.5
