Year	Month	Platform	Listeners
2020	6	Web	4263416.1
2020	11	Android	17146291.5
2020	1	Web	5604295.5
2020	6	Roku	2951776.8
2020	7	iOS	31462470.9
2020	9	Android	17408578.5
2020	6	Amazon	2882274.3
2020	3	Roku	3035217.6
2020	6	Android	17941607.1
2020	9	Web	5236322.4
2020	12	Roku	3399923.7
2020	2	Amazon	2867281.2
2020	12	Android	17229576.6
2020	11	Web	5504709.6
2020	1	Android	18420018.3
2020	10	iOS	30037248.9
2020	12	Amazon	1538050.5
2020	10	Android	17358283.8
2020	8	All_Other	5809278.6
2020	6	iOS	31140657.9
2020	7	Web	4342837.5
2020	9	Roku	2936473.2
2020	4	Web	4837048.2
2020	5	Web	5267420.1
2020	1	Amazon	2987339.4
2020	4	All_Other	6449742.9
2020	3	All_Other	6158198.7
2020	1	All_Other	5508424.8
2020	1	Roku	3020664.6
2020	9	All_Other	5592744
2020	7	Android	18056859.3
2020	2	All_Other	5423663.7
2020	4	Android	18095399.1
2020	5	Roku	3091325.4
2020	6	All_Other	5918135.4
2020	3	Web	5629068.9
2020	11	Roku	3132531
2020	12	Web	6134662.8
2020	12	All_Other	8201977.2
2020	3	Amazon	3145277.7
2020	10	All_Other	6568143.3
2020	4	iOS	30669994.8
2020	7	All_Other	5918826.6
2020	4	Amazon	3212416.8
2020	11	iOS	29660355
2020	2	Android	18031581
2020	9	Amazon	2670459.3
2020	1	iOS	30880713.6
2020	5	Amazon	3171152.7
2020	7	Roku	3002269.5
2020	11	Amazon	1436359.5
2020	3	Android	18544904.1
2020	12	iOS	29912081.4
2020	8	Amazon	2805553.8
2020	7	Amazon	2878052.4
2020	10	Roku	3004089.3
2020	5	iOS	31569246.9
2020	2	Roku	2912481
2020	5	Android	18388766.7
2020	8	iOS	31109855.4
2020	9	iOS	30340396.8
2020	5	All_Other	6399399.6
2020	10	Amazon	2439785.7
2020	8	Web	4992374.7
2020	8	Android	17824607.1
2020	2	iOS	30594859.2
2020	8	Roku	2938621.5
2020	11	All_Other	7565598
2020	4	Roku	3053016.9
